area,perimeter,compactness,kernel_length,kernel_width,asymmetry,kernel_groove
15.26,14.84,0.871,5.763,3.312,2.221,5.22
14.88,14.57,0.8811,5.554,3.333,1.018,4.956
14.29,14.09,0.905,5.291,3.337,2.699,4.825
13.84,13.94,0.8955,5.324,3.379,2.259,4.805
16.14,14.99,0.9034,5.658,3.562,1.355,5.175
14.38,14.21,0.8951,5.386,3.312,2.462,4.956
14.69,14.49,0.8799,5.563,3.259,3.586,5.219
14.11,14.1,0.8911,5.42,3.302,2.7,5
16.63,15.46,0.8747,6.053,3.465,2.04,5.877
16.44,15.25,0.888,5.884,3.505,1.969,5.533
15.26,14.85,0.8696,5.714,3.242,4.543,5.314
14.03,14.16,0.8796,5.438,3.201,1.717,5.001
13.89,14.02,0.888,5.439,3.199,3.986,4.738
13.78,14.06,0.8759,5.479,3.156,3.136,4.872
13.74,14.05,0.8744,5.482,3.114,2.932,4.825
14.59,14.28,0.8993,5.351,3.333,4.185,4.781
13.99,13.83,0.9183,5.119,3.383,5.234,4.781
15.69,14.75,0.9058,5.527,3.514,1.599,5.046
14.7,14.21,0.9153,5.205,3.466,1.767,4.649
17.63,15.98,0.8673,6.191,3.561,4.076,6.06
16.84,15.67,0.8623,5.998,3.484,4.675,5.877
17.26,15.73,0.8763,5.978,3.594,4.539,5.791
19.11,16.26,0.9081,6.154,3.93,2.936,6.079
16.82,15.51,0.8786,6.017,3.486,4.004,5.841
16.77,15.62,0.8638,5.927,3.438,4.92,5.795
17.32,15.91,0.8599,6.064,3.403,3.824,5.922
20.71,17.23,0.8763,6.579,3.814,4.451,6.451
18.94,16.49,0.875,6.445,3.639,5.064,6.362
17.12,15.55,0.8892,5.85,3.566,2.858,5.746
16.53,15.34,0.8823,5.875,3.467,5.532,5.88
18.72,16.19,0.8977,6.006,3.857,5.324,5.879
20.2,16.89,0.8894,6.285,3.864,5.173,6.187
19.57,16.74,0.8779,6.384,3.772,1.472,6.273
19.51,16.71,0.878,6.366,3.801,2.962,6.185
18.27,16.09,0.887,6.173,3.651,2.443,6.197
18.88,16.26,0.8969,6.084,3.764,1.649,6.109
18.98,16.66,0.859,6.549,3.67,3.691,6.498
21.18,17.21,0.8989,6.573,4.033,5.78,6.231
20.88,17.05,0.9031,6.45,4.032,5.016,6.321
11.48,13.05,0.8473,5.18,2.758,5.876,5.002
12.21,13.47,0.8453,5.357,2.893,1.661,5.178
11.41,12.95,0.856,5.09,2.775,4.957,4.825
12.46,13.41,0.8706,5.236,3.017,4.987,5.147
12.19,13.36,0.8579,5.24,2.909,4.857,5.158
11.65,13.07,0.8575,5.108,2.85,5.209,5.135
12.89,13.77,0.8541,5.495,3.026,6.185,5.316
11.56,13.31,0.8198,5.363,2.683,4.062,5.182
11.81,13.45,0.8198,5.413,2.716,4.898,5.352
10.91,12.8,0.8372,5.088,2.675,4.179,4.956
11.23,12.82,0.8594,5.089,2.821,7.524,4.957
10.59,12.41,0.8648,4.899,2.787,4.975,4.794
10.93,12.8,0.839,5.046,2.717,5.398,5.045
11.27,12.86,0.8563,5.091,2.804,3.985,5.001
11.87,13.02,0.8795,5.132,2.953,3.597,5.132
10.82,12.83,0.8256,5.18,2.63,4.853,5.089
12.11,13.27,0.8639,5.236,2.975,4.132,5.012
12.8,13.47,0.886,5.16,3.126,4.873,4.914
12.79,13.53,0.8786,5.224,3.054,5.483,4.958
13.37,13.78,0.8849,5.32,3.128,4.67,5.091
